,temperature,oob,time
0,1000,0.026348332,55.9967664
1,1000,0.118707148,108.9774215
2,1000,0.026354186,629.238686
3,1000,0.026367996,681.2101594
4,1000,0.026377432,732.9707948
5,1000,0.026376427,784.6374375
6,1000,0.026375029,836.0552854
7,1000,0.053956862,887.9475449
8,800,0.026348453,939.6571401
9,800,0.026373104,991.2854412
10,800,0.1045906,1042.940565
11,800,0.026356329,1094.584147
12,800,0.026335274,1146.388745
13,800,0.13875936,1219.141928
14,800,0.026357698,1287.317082
15,800,0.026345414,1355.050571
16,640,0.026329812,1422.927288
17,640,0.402537889,1490.565945
18,640,0.026341875,1557.875986
20,640,0.026334593,1693.095479
21,640,0.026336201,1760.334958
22,640,0.026372508,1827.718699
23,640,0.026360089,1895.198479
24,512,0.026337084,1950.783171
26,512,0.030058655,2005.444676
27,512,0.09515463,2383.287554
28,512,0.234834272,2437.96572
29,512,0.026369925,2507.330219
30,512,0.062293452,2571.449922
31,512,0.46505617,3074.702438
32,409.6,0.026358182,3209.037467
34,409.6,0.258375437,3276.142998
35,409.6,0.960441296,3317.316458
